ranking_number,movie_title, year, time_stamp
13,Bullet Train,2022,09.01.2023
14,Top Gun: Maverick,2022,09.01.2023
15,Puss in Boots: The Last Wish,2022,09.01.2023
16,Romeo and Juliet,1968,09.01.2023
17,Roald Dahl's Matilda the Musical,2022,09.01.2023
18,Everything Everywhere All at Once,2022,09.01.2023
19,The Whale,2022,09.01.2023
20,The Fabelmans,2022,09.01.2023
21,Amsterdam,2022,09.01.2023
22,X,2022,09.01.2023
23,Strange World,2022,09.01.2023
24,Renfield,2023,09.01.2023
25,Triangle of Sadness,2022,09.01.2023
26,Guillermo del Toro's Pinocchio,2022,09.01.2023
27,Violent Night,2022,09.01.2023
28,Black Adam,2022,09.01.2023
29,Top Gun,1986,09.01.2023
30,Girl in the Basement,2021,09.01.2023
31,Barbarian,2022,09.01.2023
32,Black Panther: Wakanda Forever,2022,09.01.2023
33,The Batman,2022,09.01.2023
34,Operation Fortune: Ruse de guerre,2023,09.01.2023
35,Whitney Houston: I Wanna Dance with Somebody,2022,09.01.2023
36,Aftersun,2022,09.01.2023
37,Don't Worry Darling,2022,09.01.2023
38,Oppenheimer,2023,09.01.2023
39,Tár,2022,09.01.2023
40,Barbie,2023,09.01.2023
41,Nope,2022,09.01.2023
42,Smile,2022,09.01.2023
43,The Northman,2022,09.01.2023
44,The Invitation,2022,09.01.2023
45,Willow,1988,09.01.2023
46,No Time to Die,2021,09.01.2023
47,Women Talking,2022,09.01.2023
48,Jurassic World: Dominion,2022,09.01.2023
49,The Godfather,1972,09.01.2023
50,Bones and All,2022,09.01.2023
51,Encanto,2021,09.01.2023
52,All Quiet on the Western Front,2022,09.01.2023
53,The Shawshank Redemption,1994,09.01.2023
54,Where the Crawdads Sing,2022,09.01.2023
55,Matilda,1996,09.01.2023
56,Harry Potter and the Sorcerer's Stone,2001,09.01.2023
57,Emily the Criminal,2022,09.01.2023
58,Knock at the Cabin,2023,09.01.2023
59,Interstellar,2014,09.01.2023
60,Love Actually,2003,09.01.2023
61,Pearl,2022,09.01.2023
62,The Black Phone,2021,09.01.2023
63,RRR,2022,09.01.2023
64,Indiana Jones and the Dial of Destiny,2023,09.01.2023
65,Elvis,2022,09.01.2023
66,See How They Run,2022,09.01.2023
67,Ticket to Paradise,2022,09.01.2023
68,Killers of the Flower Moon 68,146,09.01.2023
69,The Gray Man,2022,09.01.2023
70,Empire of Light,2022,09.01.2023
71,Dune,2021,09.01.2023
72,She Said,2022,09.01.2023
73,Titanic,1997,09.01.2023
74,Emancipation,2022,09.01.2023
75,This Place Rules,2022,09.01.2023
76,Zardoz,1974,09.01.2023
77,Fantastic Beasts: The Secrets of Dumbledore,2022,09.01.2023
78,Thor: Love and Thunder,2022,09.01.2023
79,Lady Chatterley's Lover,2022,09.01.2023
80,The Fallout,2021,09.01.2023
81,7 Women and a Murder,2021,09.01.2023
82,The Woman King,2022,09.01.2023
83,The Addams Family,1991,09.01.2023
84,Death on the Nile,2022,09.01.2023
85,Winnie-the-Pooh: Blood and Honey,2023,09.01.2023
86,Terrifier 2,2022,09.01.2023
87,The Super Mario Bros. Movie,2023,09.01.2023
88,80 for Brady,2023,09.01.2023
89,Spirited,2022,09.01.2023
90,Home Alone,1990,09.01.2023
91,Decision to Leave,2022,09.01.2023
92,Plane,2023,09.01.2023
93,The Wonder,2022,09.01.2023
94,Fall,2022,09.01.2023
95,Weird: The Al Yankovic Story,2022,09.01.2023
96,Zoolander,2001,09.01.2023
97,Once Upon a Time in Hollywood,2019,09.01.2023
98,The Lord of the Rings: The Fellowship of the Ring,2001,09.01.2023
99,New Year's Eve,2011,09.01.2023
100,Spider-Man: No Way Home,2021,09.01.2023
1,Avatar: The Way of Water,2022,11.01.2023
2,Glass Onion,2022,11.01.2023
3,The Menu,2022,11.01.2023
4,White Noise,2022,11.01.2023
5,The Pale Blue Eye,2022,11.01.2023
6,Knives Out,2019,11.01.2023
7,Babylon,2022,11.01.2023
8,Evil Dead Rise,2023,11.01.2023
9,M3GAN,2022,11.01.2023
10,The Banshees of Inisherin,2022,11.01.2023
11,Avatar,2009,11.01.2023
12,A Man Called Otto,2022,11.01.2023
13,Bullet Train,2022,11.01.2023
14,Top Gun: Maverick,2022,11.01.2023
15,Puss in Boots: The Last Wish,2022,11.01.2023
16,Romeo and Juliet,1968,11.01.2023
17,Roald Dahl's Matilda the Musical,2022,11.01.2023
18,Everything Everywhere All at Once,2022,11.01.2023
19,The Whale,2022,11.01.2023
20,The Fabelmans,2022,11.01.2023
21,Amsterdam,2022,11.01.2023
22,X,2022,11.01.2023
23,Strange World,2022,11.01.2023
24,Renfield,2023,11.01.2023
25,Triangle of Sadness,2022,11.01.2023
26,Guillermo del Toro's Pinocchio,2022,11.01.2023
27,Violent Night,2022,11.01.2023
28,Black Adam,2022,11.01.2023
29,Top Gun,1986,11.01.2023
30,Girl in the Basement,2021,11.01.2023
31,Barbarian,2022,11.01.2023
32,Black Panther: Wakanda Forever,2022,11.01.2023
33,The Batman,2022,11.01.2023
34,Operation Fortune: Ruse de guerre,2023,11.01.2023
35,Whitney Houston: I Wanna Dance with Somebody,2022,11.01.2023
36,Aftersun,2022,11.01.2023
37,Don't Worry Darling,2022,11.01.2023
38,Oppenheimer,2023,11.01.2023
39,Tár,2022,11.01.2023
40,Barbie,2023,11.01.2023
41,Nope,2022,11.01.2023
42,Smile,2022,11.01.2023
43,The Northman,2022,11.01.2023
44,The Invitation,2022,11.01.2023
45,Willow,1988,11.01.2023
46,No Time to Die,2021,11.01.2023
47,Women Talking,2022,11.01.2023
48,Jurassic World: Dominion,2022,11.01.2023
49,The Godfather,1972,11.01.2023
50,Bones and All,2022,11.01.2023
51,Encanto,2021,11.01.2023
52,All Quiet on the Western Front,2022,11.01.2023
53,The Shawshank Redemption,1994,11.01.2023
54,Where the Crawdads Sing,2022,11.01.2023
55,Matilda,1996,11.01.2023
56,Harry Potter and the Sorcerer's Stone,2001,11.01.2023
57,Emily the Criminal,2022,11.01.2023
58,Knock at the Cabin,2023,11.01.2023
59,Interstellar,2014,11.01.2023
60,Love Actually,2003,11.01.2023
61,Pearl,2022,11.01.2023
62,The Black Phone,2021,11.01.2023
63,RRR,2022,11.01.2023
64,Indiana Jones and the Dial of Destiny,2023,11.01.2023
65,Elvis,2022,11.01.2023
66,See How They Run,2022,11.01.2023
67,Ticket to Paradise,2022,11.01.2023
68,Killers of the Flower Moon 68,146,11.01.2023
69,The Gray Man,2022,11.01.2023
70,Empire of Light,2022,11.01.2023
71,Dune,2021,11.01.2023
72,She Said,2022,11.01.2023
73,Titanic,1997,11.01.2023
74,Emancipation,2022,11.01.2023
75,This Place Rules,2022,11.01.2023
76,Zardoz,1974,11.01.2023
77,Fantastic Beasts: The Secrets of Dumbledore,2022,11.01.2023
78,Thor: Love and Thunder,2022,11.01.2023
79,Lady Chatterley's Lover,2022,11.01.2023
80,The Fallout,2021,11.01.2023
81,7 Women and a Murder,2021,11.01.2023
82,The Woman King,2022,11.01.2023
83,The Addams Family,1991,11.01.2023
84,Death on the Nile,2022,11.01.2023
85,Winnie-the-Pooh: Blood and Honey,2023,11.01.2023
86,Terrifier 2,2022,11.01.2023
87,The Super Mario Bros. Movie,2023,11.01.2023
88,80 for Brady,2023,11.01.2023
89,Spirited,2022,11.01.2023
90,Home Alone,1990,11.01.2023
91,Decision to Leave,2022,11.01.2023
92,Plane,2023,11.01.2023
93,The Wonder,2022,11.01.2023
94,Fall,2022,11.01.2023
95,Weird: The Al Yankovic Story,2022,11.01.2023
96,Zoolander,2001,11.01.2023
97,Once Upon a Time in Hollywood,2019,11.01.2023
98,The Lord of the Rings: The Fellowship of the Ring,2001,11.01.2023
99,New Year's Eve,2011,11.01.2023
100,Spider-Man: No Way Home,2021,11.01.2023
1,Avatar: The Way of Water,2022,12.01.2023
2,Glass Onion,2022,12.01.2023
3,The Menu,2022,12.01.2023
4,White Noise,2022,12.01.2023
5,The Pale Blue Eye,2022,12.01.2023
6,Knives Out,2019,12.01.2023
7,Babylon,2022,12.01.2023
8,Evil Dead Rise,2023,12.01.2023
9,M3GAN,2022,12.01.2023
10,The Banshees of Inisherin,2022,12.01.2023
11,Avatar,2009,12.01.2023
12,A Man Called Otto,2022,12.01.2023
13,Bullet Train,2022,12.01.2023
14,Top Gun: Maverick,2022,12.01.2023
15,Puss in Boots: The Last Wish,2022,12.01.2023
16,Romeo and Juliet,1968,12.01.2023
17,Roald Dahl's Matilda the Musical,2022,12.01.2023
18,Everything Everywhere All at Once,2022,12.01.2023
19,The Whale,2022,12.01.2023
20,The Fabelmans,2022,12.01.2023
21,Amsterdam,2022,12.01.2023
22,X,2022,12.01.2023
23,Strange World,2022,12.01.2023
24,Renfield,2023,12.01.2023
25,Triangle of Sadness,2022,12.01.2023
26,Guillermo del Toro's Pinocchio,2022,12.01.2023
27,Violent Night,2022,12.01.2023
28,Black Adam,2022,12.01.2023
29,Top Gun,1986,12.01.2023
30,Girl in the Basement,2021,12.01.2023
31,Barbarian,2022,12.01.2023
32,Black Panther: Wakanda Forever,2022,12.01.2023
33,The Batman,2022,12.01.2023
34,Operation Fortune: Ruse de guerre,2023,12.01.2023
35,Whitney Houston: I Wanna Dance with Somebody,2022,12.01.2023
36,Aftersun,2022,12.01.2023
37,Don't Worry Darling,2022,12.01.2023
38,Oppenheimer,2023,12.01.2023
39,Tár,2022,12.01.2023
40,Barbie,2023,12.01.2023
41,Nope,2022,12.01.2023
42,Smile,2022,12.01.2023
43,The Northman,2022,12.01.2023
44,The Invitation,2022,12.01.2023
45,Willow,1988,12.01.2023
46,No Time to Die,2021,12.01.2023
47,Women Talking,2022,12.01.2023
48,Jurassic World: Dominion,2022,12.01.2023
49,The Godfather,1972,12.01.2023
50,Bones and All,2022,12.01.2023
51,Encanto,2021,12.01.2023
52,All Quiet on the Western Front,2022,12.01.2023
53,The Shawshank Redemption,1994,12.01.2023
54,Where the Crawdads Sing,2022,12.01.2023
55,Matilda,1996,12.01.2023
56,Harry Potter and the Sorcerer's Stone,2001,12.01.2023
57,Emily the Criminal,2022,12.01.2023
58,Knock at the Cabin,2023,12.01.2023
59,Interstellar,2014,12.01.2023
60,Love Actually,2003,12.01.2023
61,Pearl,2022,12.01.2023
62,The Black Phone,2021,12.01.2023
63,RRR,2022,12.01.2023
64,Indiana Jones and the Dial of Destiny,2023,12.01.2023
65,Elvis,2022,12.01.2023
66,See How They Run,2022,12.01.2023
67,Ticket to Paradise,2022,12.01.2023
68,Killers of the Flower Moon 68,146,12.01.2023
69,The Gray Man,2022,12.01.2023
70,Empire of Light,2022,12.01.2023
71,Dune,2021,12.01.2023
72,She Said,2022,12.01.2023
73,Titanic,1997,12.01.2023
74,Emancipation,2022,12.01.2023
75,This Place Rules,2022,12.01.2023
76,Zardoz,1974,12.01.2023
77,Fantastic Beasts: The Secrets of Dumbledore,2022,12.01.2023
78,Thor: Love and Thunder,2022,12.01.2023
79,Lady Chatterley's Lover,2022,12.01.2023
80,The Fallout,2021,12.01.2023
81,7 Women and a Murder,2021,12.01.2023
82,The Woman King,2022,12.01.2023
83,The Addams Family,1991,12.01.2023
84,Death on the Nile,2022,12.01.2023
85,Winnie-the-Pooh: Blood and Honey,2023,12.01.2023
86,Terrifier 2,2022,12.01.2023
87,The Super Mario Bros. Movie,2023,12.01.2023
88,80 for Brady,2023,12.01.2023
89,Spirited,2022,12.01.2023
90,Home Alone,1990,12.01.2023
91,Decision to Leave,2022,12.01.2023
92,Plane,2023,12.01.2023
93,The Wonder,2022,12.01.2023
94,Fall,2022,12.01.2023
95,Weird: The Al Yankovic Story,2022,12.01.2023
96,Zoolander,2001,12.01.2023
97,Once Upon a Time in Hollywood,2019,12.01.2023
98,The Lord of the Rings: The Fellowship of the Ring,2001,12.01.2023
99,New Year's Eve,2011,12.01.2023
100,Spider-Man: No Way Home,2021,12.01.2023
